ID,ideology,leadership,name,party,description,introduced_bills_117,cosponsored_bills_117,unique_cosponsors_117,total_cosponsors_117
412435,0.31133959390399546,0.49929722990102593,Keating,Democrat,rank-and-file Democrat,2,35,1,1
412583,0.40399321574037045,0.6679531675577736,Kilmer,Democrat,centrist Democrat,1,49,3,3
400218,0.5160177196747039,0.9016260338986021,Kind,Democrat,centrist Democratic leader,0,16,0,0
412701,0.31505211259552923,0.6816651271964514,Krishnamoorthi,Democrat,rank-and-file Democrat,5,23,21,21
412557,0.3875747795808774,0.7639470979598059,Kuster,Democrat,centrist Democrat,7,47,224,272
412638,0.2024432803799737,0.6988544089883947,Lawrence,Democrat,rank-and-file Democrat,1,32,3,3
412693,0.2891787540623141,0.5080433886682776,Lawson,Democrat,rank-and-file Democrat,0,50,0,0
400249,0.21593522046805436,0.8869451704870475,Lynch,Democrat,moderate Democratic leader,5,50,155,181
400251,0.15644056348160978,1.0,Maloney [NY12],Democrat,progressive Democratic leader,3,56,69,85
400271,0.1880410843188683,0.5907515146629803,Meeks,Democrat,rank-and-file Democrat,2,41,28,56
400661,0.13475923089536965,0.6555340695089318,Moore [WI4],Democrat,progressive Democrat,4,86,60,71
400290,0.18981928440971516,0.6600420228585694,Napolitano,Democrat,rank-and-file Democrat,1,73,66,66
412606,0.3219424825923429,0.45785199377911123,Norcross,Democrat,rank-and-file Democrat,9,21,19,26
412682,0.47734282852539667,0.592480787470191,Oâ€™Halleran,Democrat,centrist Democrat,1,27,0,0
400308,0.2246924713718702,0.7967195762715117,Pallone,Democrat,moderate Democratic leader,0,37,0,0
412506,0.1881342043592158,0.7473618167218842,Payne,Democrat,rank-and-file Democrat,1,66,29,29
412659,0.23583788556315846,0.456469872178923,Plaskett,Democrat,rank-and-file Democrat,1,19,1,1
400349,0.38148647715613204,0.20185210476268328,Ruppersberger,Democrat,centrist Democratic follower,0,30,0,0
400355,0.2167773799687081,0.8062082483135489,SÃ¡nchez,Democrat,moderate Democratic leader,4,43,31,36
412212,0.2218792301440267,0.7477695504146483,Sarbanes,Democrat,rank-and-file Democrat,1,46,209,209
400364,0.1830045005220472,0.9662575812579751,Scott [VA3],Democrat,moderate Democratic leader,10,18,228,762
412514,0.287355889650318,0.612598913052653,Swalwell,Democrat,rank-and-file Democrat,1,40,0,0
412318,0.25113039311570096,0.7033003484146185,Titus,Democrat,rank-and-file Democrat,2,32,0,0
412522,0.22977915805367793,0.3348614885220062,Vargas,Democrat,moderate Democratic follower,3,56,35,37
400416,0.14900715094931222,0.883506382162268,VelÃ¡zquez,Democrat,progressive Democratic leader,3,82,39,52
400623,0.22517006539169426,0.6323404253465773,Wasserman Schultz,Democrat,rank-and-file Democrat,4,47,75,113
400422,0.16317654894328473,0.7954300463746762,Waters,Democrat,progressive Democratic leader,1,18,12,12
412412,0.12478181587763076,0.6322687981186699,Wilson [FL24],Democrat,progressive Democrat,1,36,0,0
412404,0.15178794005843402,0.8684748682556807,Bass,Democrat,progressive Democratic leader,1,40,0,0
400616,0.24369146932636665,0.3438067544046249,Butterfield,Democrat,moderate Democratic follower,0,38,0,0
412258,0.13494468476821359,0.47322785308334264,Carson,Democrat,progressive Democrat,0,92,0,0
412718,0.10454403158608523,0.6831233218083393,Espaillat,Democrat,progressive Democrat,13,72,80,136
412677,0.2034548875315294,0.3403352023163492,Evans,Democrat,moderate Democratic follower,0,63,0,0
412739,0.17691528159095002,0.5550813586481567,Gomez,Democrat,progressive Democrat,2,35,57,57
412561,0.20821028837169617,0.7394777062927406,Jeffries,Democrat,rank-and-file Democrat,5,20,9,10
400263,0.1623253626101127,0.7109214689285565,McGovern,Democrat,progressive Democrat,5,76,0,0
412632,0.34634091483157836,0.730445688879094,Moulton,Democrat,centrist Democrat,1,47,14,14
400289,0.106962130345187,0.8616915226370863,Nadler,Democrat,progressive Democratic leader,0,56,0,0
400363,0.3104139516486528,0.613549463917875,Scott [GA13],Democrat,rank-and-file Democrat,1,23,15,15
412644,0.1022295375466122,0.6634490772597614,Watson Coleman,Democrat,progressive Democrat,7,82,62,69
412211,0.2610971704458197,0.3673605623909283,Yarmuth,Democrat,moderate Democratic follower,1,33,0,0
412565,0.2775789568967729,0.6524233696850832,Beatty,Democrat,rank-and-file Democrat,5,56,61,166
412385,0.2785745528723744,0.9090736523343754,Deutch,Democrat,moderate Democratic leader,2,58,58,58
400204,0.1658166142167612,0.8533818370684126,Johnson [TX30],Democrat,progressive Democratic leader,3,32,35,36
400326,0.25983220074542485,0.47893637214438145,Price,Democrat,rank-and-file Democrat,2,30,5,5
412190,0.4182641501541666,0.723486298801515,McCarthy,Republican,centrist Republican leader,0,6,0,0
412487,0.7231000030879003,0.8289597735581182,McKinley,Republican,moderate Republican leader,4,45,21,22
400114,0.30128405442336004,0.6439865286387129,Doyle,Democrat,rank-and-file Democrat,0,32,0,0
412673,0.7568902426832186,0.44080133182006476,Kelly [MS1],Republican,conservative Republican,6,26,3,9
412417,0.7159156387649074,0.42718751968291896,Scott [GA8],Republican,rank-and-file Republican,1,19,7,7
400653,0.17208395232262122,0.7386272734076011,Green [TX9],Democrat,progressive Democrat,13,31,1,1
412256,0.7979012940741144,0.6573750348602434,Latta,Republican,conservative Republican leader,5,34,84,119
400211,0.28812880386229384,0.7077095861892614,Kaptur,Democrat,rank-and-file Democrat,2,39,30,30
412648,0.7391831253291383,0.881838238148224,Stefanik,Republican,moderate Republican leader,4,20,78,93
412713,0.7584217781354997,0.43149243677437954,Bacon,Republican,conservative Republican,1,32,1,1
412709,0.6544761494213388,0.5915502960257242,Bergman,Republican,rank-and-file Republican,3,15,14,14
412250,0.7432906739852851,0.6242645415034461,Bilirakis,Republican,moderate Republican leader,1,20,0,0
400077,0.767561654450166,0.302436577002021,Cole,Republican,conservative Republican,1,25,0,0
412193,0.3293267295827314,0.8596787801214575,Courtney,Democrat,centrist Democratic leader,2,29,18,19
412697,0.3165071726245131,0.6421509653350821,Crist,Democrat,rank-and-file Democrat,1,14,126,126
412731,0.7476749959446735,0.6194706605810999,Gallagher,Republican,moderate Republican leader,2,29,1,1
400651,0.8212550043487759,0.28531971952072505,Gohmert,Republican,conservative Republican,5,29,1,1
412725,0.45996170540300496,0.33536722408859077,Gonzalez [TX15],Democrat,centrist Democratic follower,0,26,0,0
412723,0.5608534316556077,0.35330816911507246,GonzÃ¡lez-ColÃ³n,Republican,rank-and-file Republican,4,21,5,6
412714,0.5761969254560209,0.4045600741591664,Gottheimer,Democrat,centrist Democrat,0,15,0,0
400158,0.6048458658807645,0.6304315395695083,Graves [MO6],Republican,moderate Republican leader,2,5,8,8
412460,0.7717353452741562,0.43444889346645804,Johnson [OH6],Republican,conservative Republican,0,27,0,0
412649,0.5624641722094141,0.6783412391170589,Katko,Republican,moderate Republican leader,2,30,3,3
412664,0.5182394478273654,0.043305627418899616,Radewagen,Republican,moderate Republican follower,0,7,0,0
412647,0.3816863914806248,0.6938601747423963,Rice [NY4],Democrat,centrist Democrat,1,44,1,1
412396,0.31456197217472764,0.8859670702649698,Sewell,Democrat,moderate Democratic leader,1,63,44,44
412581,0.7190085284349802,0.6660013935028775,Stewart,Republican,moderate Republican leader,3,23,3,3
